Business Relationship,Fund,Share,ISIN,Date,AUM (€),BR Segmentation,Business Country
"ALLFUNDS BANK, S.A.U.",EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,30773,Bank / Trading Platform,SPAIN
ALLIANZ LIFE LUXEMBOURG,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,47958,Insurance Company / Unit Link,LUXEMBOURG
ANDBANK / BANCO INVERSIS,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,23443,Bank / Private Banking,SPAIN
"ANDORRA BANC AGRÍCOL REIG, S.A. / ALLFUNDS INTERN",EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,73344,Bank / Private Banking,ANDORRA
Attrax Financial Services S.A,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,6155,Bank / Trading Platform,GERMANY
AXA WEALTH EUROPE / MFEX,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,96547,Insurance Company / Unit Link,LUXEMBOURG
BALOISE ASSURANCES LUXEMBOURG SA,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,29234,Insurance Company / Unit Link,LUXEMBOURG
BANCA DELLO STATO DEL CANTONE TICINO - MFEX,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,3385,Bank / Private Banking,SWITZERLAND
BANCO INVERSIS S.A.,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,60171,Bank / Trading Platform,SPAIN
BANK JULIUS BAER & CO. AG,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,2348564,Bank / Private Banking,SWITZERLAND
BANK JULIUS BAER & CO. AG - CUSTODIAN,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,-80010,Bank / Private Banking,SWITZERLAND
BANQUE CANTONALE DE FRIBOURG,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,30773,Bank / Private Banking,SWITZERLAND
BANQUE CANTONALE DU VALAIS,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,101243,Bank / Private Banking,SWITZERLAND
BANQUE CANTONALE VAUDOISE,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,147711,Bank / Retail,SWITZERLAND
BANQUE J. SAFRA SARASIN LUXEMBOURG / ALLFUNDS INTERN,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,588684,Bank / Private Banking,LUXEMBOURG
BBVA (Suiza) SA,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,9540,Bank / Trading Platform,SWITZERLAND
BBVA S.A. / Patrimonios,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,312,AM company / Fund of Funds,SPAIN
CLIENT INCONNU,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,56930,Unknown,UNKNOWN
COPERNICO SIM S.P.A.,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,2847,Independant Financial Advisor,ITALY
CORNER BANCA SA,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,304653,Bank / Private Banking,SWITZERLAND
CORUM VERMOGENSVERWALTUNG AG,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,20002,AM company / Own account,SWITZERLAND
DEUTSCHE WERTPAPIERSERVICE BANK AG (DWP BANK),EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,512,Bank / Trading Platform,GERMANY
EDR MONACO / Advisory,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,204641,Bank / EdR Private Banking,MONACO
EDR MONACO / Not Managed,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,120630,Bank / EdR Private Banking,MONACO
EDR SUISSE - CUSTODIAN,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,46160,Bank / EdR Private Banking,SWITZERLAND
EDR SUISSE - GENEVE / Advisory,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,1184762,Bank / EdR Private Banking,SWITZERLAND
"EDR SUISSE, SUCCURSALE DE FRIBOURG / Advisory",EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,933824,Bank / EdR Private Banking,SWITZERLAND
"EDR SUISSE, SUCCURSALE DE LAUSANNE / Advisory",EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,4029385,Bank / EdR Private Banking,SWITZERLAND
"EDR SUISSE, SUCCURSALE DE LAUSANNE / Managed",EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,307730,Bank / EdR Private Banking,SWITZERLAND
"EDR SUISSE, SUCCURSALE DE LAUSANNE / Not Managed",EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,33850,Bank / EdR Private Banking,SWITZERLAND
"EDR SUISSE, SUCCURSALE DE LUGANO / Advisory",EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,596997,Bank / EdR Private Banking,SWITZERLAND
"EDR SUISSE, SUCCURSALE DE LUGANO / Managed",EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,630847,Bank / EdR Private Banking,SWITZERLAND
ENTRIS BANKING SA,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,231259,Bank / Private Banking,SWITZERLAND
FINANCIERE HIGHGATE SA,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,30773,AM company / Independant,SWITZERLAND
IFSAM - INTERNATIONAL FUND SERVICES AND ASSET MANAGEMENT,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,178484,Bank / Trading Platform,SWITZERLAND
MEDIOBANCA PREMIER (ex. CHEBANCA! S.P.A.) / AFB ITALY,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,52066,Bank / Retail,ITALY
NATIXIS WEALTH MANAGEMENT / MFEX,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,24801,Bank / Private Banking,FRANCE
QUINTET LUXEMBOURG,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,14412,Bank / Private Banking,LUXEMBOURG
RAIFFEISEN SCHWEIZ GENOSSENSCHAFT,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,100012,Bank / Private Banking,SWITZERLAND
SIX SIS LTD (ex SEGA INTERSETTLE),EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,363122,Bank / Trading Platform,SWITZERLAND
SWISSQUOTE BANK SA,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,72009,Bank / Online Broker,SWITZERLAND
SWISSQUOTE BANK SA - CUSTODIAN,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,-20002,Bank / Online Broker,SWITZERLAND
UBS AG,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,443252,Bank / Retail,SWITZERLAND
UBS AG - CUSTODIAN,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,-76932,Bank / Retail,SWITZERLAND
UNIQ CAPITAL,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,400049,AM company / Independant,SWITZERLAND
V-BANK,EdR Fund Big Data,EdR Fund Big Data A - CHF,LU1244893852,2025-12-31 05:00:00,123092,Bank / Trading Platform,GERMANY
A&G AGENCIA DE VALORES / ALLFUNDS INTERN,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,292484,Bank / Private Banking,SPAIN
"ABANCA GESTION DE ACTIVOS, SGIIC, SA",EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,2064530,AM company / Fund of Funds,SPAIN
ABANCA SA / ALLFUNDS,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,18704,Bank / Private Banking,SPAIN
ABN AMRO BANK N.V. - BELGIUM / FUND CHANNEL,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,56603,Bank / Retail,BELGIUM
AEP-ASSURANCE EPARGNE PENSION / ALLFUNDS,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,9892258,Insurance Company / Unit Link,FRANCE
"AHORRO & INVERSION ECI, AGENCIA DE VALORES, S.A. / ALLFUNDS",EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,228085,Independant Financial Advisor,SPAIN
"ALLFUNDS BANK, S.A.U  / STEC / CONSORS",EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,164482,Bank / Trading Platform,SPAIN
ALLIANZ GLOBAL INVESTORS FRANCE SA (ex AGF AM),EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,368169,AM company / Fund of Funds,FRANCE
ALLIANZ LIFE LUXEMBOURG,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,708637,Insurance Company / Unit Link,LUXEMBOURG
ALLIANZ VIE / MFEX,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,3096293,Insurance Company / Unit Link,FRANCE
ALPHEYS INVEST,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,926485,Bank / Trading Platform,FRANCE
AMUNDI ITALIA / FUND CHANNEL,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,1846136,AM company / Fund of Funds,ITALY
ANDBANK / BANCO INVERSIS,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,16343611,Bank / Private Banking,SPAIN
"ANDORRA BANC AGRÍCOL REIG, S.A. / ALLFUNDS INTERN",EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,274457,Bank / Private Banking,ANDORRA
ANTARIUS,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,240,Insurance Company / Retirement Scheme,FRANCE
APICIL EPARGNE / INTENTIAL,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,10650571,AM company / Fund of Funds,FRANCE
APICIL EPARGNE RETRAITE / INTENCIAL,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,1795936,Insurance Company / Retirement Scheme,FRANCE
"APICIL INVEST SA, Succursale France",EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,161188,Bank / Trading Platform,FRANCE
APICIL LIFE SA,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,7338411,Insurance Company / Unit Link,FRANCE
ARGENTA SPAARBANK - BELGIQUE,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,4371352,Bank / Retail,BELGIUM
ARKEA DIRECT BANK / FORTUNEO,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,-14317,Bank / Online Broker,FRANCE
"ASESORES Y GESTORES FINANCIEROS, AV,  S.A / ALLFUNDS",EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,1684721,Bank / Private Banking,SPAIN
ASSURANCES DU CREDIT MUTUEL - ACM,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,4548457,Insurance Company / Unit Link,FRANCE
Attrax Financial Services S.A,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,1071009,Bank / Trading Platform,GERMANY
AURIS GESTION,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,2265793,AM company / Fund of Funds,FRANCE
AXA BANQUE,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,66289,Bank / Retail,FRANCE
AXA FRANCE (CGPI) / MFEX,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,18540433,Insurance Company / Unit Link,FRANCE
AXA FRANCE (GESTION PRIVEE) Ext / MFEX,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,3060309,Insurance Company / Unit Link,FRANCE
AXA FRANCE (GESTION PRIVEE) Int / MFEX,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,3119835,Insurance Company / Unit Link,FRANCE
AXA WEALTH EUROPE / MFEX,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,1526239,Insurance Company / Unit Link,LUXEMBOURG
BANCA CAMBIANO 1884 S.P.A. / AFB ITALY,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,67522,Bank / Retail,ITALY
BANCA CAMBIANO 1884 S.P.A. / ALLFUNDS,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,10374,Bank / Private Banking,ITALY
BANCA FINECO,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,2676140,Bank / Retail,ITALY
BANCA IFIGEST,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,4881,Bank / Retail,ITALY
BANCA MARCH / BANCO INVERSIS,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,3609345,Bank / Private Banking,SPAIN
BANCA SELLA HOLDING SPA,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,7817,AM company / Fund of Funds,ITALY
BANCA SISTEMA,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,112576,AM company / Fund of Funds,ITALY
BANCO ALCALÁ / ALLFUNDS,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,163156,Bank / Private Banking,SPAIN
"BANCO BPI, S.A. / ALLFUNDS INTERN",EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,4293884,Bank / Retail,PORTUGAL
"BANCO COOPERATIVO ESPAÑOL, S.A. / ALLFUNDS",EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,261419,Bank / Retail,SPAIN
BANCO ELECTRONICO DE SERVICIO TOTAL SA / Banco BEST / MFEX,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,878716,Bank / Retail,PORTUGAL
BANCO INVERSIS S.A.,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,12886794,Bank / Trading Platform,SPAIN
"BANCO INVEST, S.A. / MFEX",EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,244575,Bank / Private Banking,PORTUGAL
BANCO SANTANDER TOTTA SA / ALLFUNDS INTERN,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,36293,Bank / Private Banking,PORTUGAL
BANK JULIUS BAER & CO. AG,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,7389714,Bank / Private Banking,SWITZERLAND
BANKINTER LUXEMBOURG / ALLFUNDS INTERN,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,540024,AM company / Fund of Funds,LUXEMBOURG
"BANKINTER, S.A. / ALLFUNDS",EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,20770639,Bank / Retail,SPAIN
"BANKINTER, S.A. SUCURSAL EM PORTUGAL / ALLFUNDS INTERN",EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,182179,Bank / Private Banking,PORTUGAL
BANQUE CANTONALE DE GENEVE,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,123195,Bank / Private Banking,SWITZERLAND
BANQUE DE LUXEMBOURG / ALLFUNDS INTERN,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,3052328,Bank / Private Banking,LUXEMBOURG
BANQUE FEDERATIVE DU CREDIT MUTUEL,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,71763,Bank / Retail,FRANCE
BANQUE FEDERATIVE DU CREDIT MUTUEL / without rebate,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,23077,Bank / Retail,FRANCE
BANQUE INTERNATIONALE A LUXEMBOURG / CUSTODIAN,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,15983,Bank / Private Banking,LUXEMBOURG
BANQUE INTERNATIONALE A LUXEMBOURG SA (Ex DEXIA BIL),EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,775524,Bank / Private Banking,LUXEMBOURG
BANQUE MICHEL INCHAUSPE,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,890328,Bank / Private Banking,FRANCE
BANQUE NEUFLIZE OBC / FUND CHANNEL,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,1053007,Bank / Private Banking,FRANCE
BANQUE PALATINE (ex SANPAOLO),EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,49250,Bank / Retail,FRANCE
BANQUE PICTET & CIE SA,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,86943,Bank / Private Banking,SWITZERLAND
Banque Populaire Auvergne Rhone Alpes (Distribution),EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,3330,Bank / Retail,FRANCE
BANQUE POPULAIRE D'ALSACE LORRAINE CHAMPAGNE (Distribution),EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,7658,Bank / Retail,FRANCE
BANQUE POPULAIRE DU NORD (Distribution),EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,50065,Bank / Retail,FRANCE
BANQUE POPULAIRE RIVES DE PARIS (Distribution),EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,10900,Bank / Retail,FRANCE
BANQUE SAINT-OLIVE,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,856040,Bank / Private Banking,FRANCE
BANQUE TRANSATLANTIQUE,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,505541,Bank / Private Banking,FRANCE
BANQUE TRANSATLANTIQUE / without rebate,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,6446,Bank / Private Banking,FRANCE
BASLER KANTONALBANK,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,294670,Bank / Private Banking,SWITZERLAND
BBVA (Suiza) SA,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,214093,Bank / Trading Platform,SWITZERLAND
BBVA S.A. / Asset Management,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,3702396,Bank / Trading Platform,SPAIN
BBVA S.A. / Institutional,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,970198,Bank / Private Banking,SPAIN
BBVA S.A. / Patrimonios,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,72794248,AM company / Fund of Funds,SPAIN
"BBVA, S.A, SUCCURSALE ITALIANA (BBVA italian Branch)",EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,3234443,Bank / Retail,ITALY
BCEEL (BANQUE ET CAISSE D'EPARGNE DE L'ETAT LUXEMBOURG) / MFEX,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,1069917,Bank / Retail,LUXEMBOURG
BFORBANK / FUND CHANNEL,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,133120,Bank / Online Broker,FRANCE
BGL BNP PARIBAS / ALLFUNDS,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,659710,Bank / Private Banking,LUXEMBOURG
BNP PARIBAS FORTIS / ALLFUNDS,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,2387613,Bank / Retail,BELGIUM
BNP PARIBAS GERMANY/ CONSORSBANK,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,139532,Bank / Online Broker,GERMANY
BNP PARIBAS SA / ALLFUNDS,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,1268584,Bank / Private Banking,FRANCE
"BNP PARIBAS SA, SINGAPORE BRANCH / ALLFUNDS",EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,716530,Bank / Private Banking,SINGAPORE
BNP PARIBAS WEALTH MANAGEMENT MONACO / ALLFUNDS,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,34295,Bank / Private Banking,MONACO
BOURSE DIRECT SA,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,53940,Bank / Online Broker,FRANCE
BOURSORAMA,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,1654379,Bank / Online Broker,FRANCE
BPCE VIE,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,375316,Insurance Company / Unit Link,FRANCE
BRED BANQUE PRIVEE,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,3330,Bank / Private Banking,FRANCE
CA INDOSUEZ (SWITZERLAND) SA / FUND CHANNEL,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,112208,Bank / Private Banking,SWITZERLAND
CA INDOSUEZ / FUND CHANNEL,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,15177887,Bank / Private Banking,FRANCE
CA INDOSUEZ WEALTH (EUROPE) / CUSTODIAN,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,554044,Bank / Private Banking,LUXEMBOURG
"CA INDOSUEZ WEALTH (EUROPE), SUCURSAL EN ESPAÑA / ALLFUNDS",EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,242415,Bank / Private Banking,SPAIN
CACEIS BANK DEUTSCHLAND GMBH,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,276357,Bank / Trading Platform,GERMANY
CAISSE D'EPARGNE BRETAGNE PAYS LOIRE (Distribution),EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,666,Bank / Retail,FRANCE
CAISSE D'EPARGNE GRAND EST EUROPE (Distribution),EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,5549,Bank / Retail,FRANCE
CAISSE D'EPARGNE NORMANDIE (Distribution),EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,19159,Bank / Retail,FRANCE
CAISSE D'EPARGNE PROVENCE ALPES CORSE (Distribution),EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,311828,Bank / Retail,FRANCE
CAISSE D'EPARGNE RHONE ALPES (Distribution),EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,1767,Bank / Retail,FRANCE
CAISSE D'EPARGNE RHONE-ALPES - NO REBATE,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,4994,Bank / Retail,FRANCE
CAIXABANK SA / ALLFUNDS,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,46645682,Bank / Private Banking,SPAIN
CAJA DE INGENIEROS / BANCO INVERSIS,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,77561,Bank / Retail,SPAIN
CAJAMAR GESTION / BANCO INVERSIS,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,211836,AM company / Fund of Funds,SPAIN
CALI EUROPE (ex PREDICA EUROPE) / FUND CHANNEL,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,1268695,Insurance Company / Unit Link,FRANCE
CARAC / Distribution / MFEX,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,120118,Insurance Company / Mutuelle,FRANCE
CARDIF ASSURANCE VIE (GESTION DE FORTUNE) / ALLFUNDS,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,13007609,Insurance Company / Unit Link,FRANCE
CARDIF ASSURANCE VIE (UC) / ALLFUNDS,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,23124638,Insurance Company / Unit Link,FRANCE
CARDIF LUX VIE / Contrat direct,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,363486,Insurance Company / Unit Link,LUXEMBOURG
CASER AV / BANCO INVERSIS,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,123698,Independant Financial Advisor,SPAIN
CCF S.A / FUND CHANNEL,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,1664,Bank / Private Banking,FRANCE
CDC - CAISSE DES DEPOTS ET CONSIGNATIONS,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,2664,Bank / Own Account,FRANCE
CHOLET DUPONT,EdR Fund Big Data,EdR Fund Big Data A - EUR,LU1244893696,2025-12-31 05:00:00,1975625,AM company / Fund of Funds,FRANCE
